,Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
3713,Highlands Violence,PNG003,Papua New Guinea,Minimal humanitarian conditions - Level 1,4301808,"NSO accessed 07/12/2023; NSO 2011; UNCT PNG 15/09/22; IFRC 04/09/22, UNCT PNG 10/10/22;  IOM 19/12/22",Medium ,2,"https://www.nso.gov.pg/statistics/population/ ;

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-disaster-management-team-flash-update-no-06-7-october-2022;

https://www.nso.gov.pg/download/77/nso-digital-library/2248/png-national-report-2011-census-2.pdf;

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-civil-unrest-emergency-plan-action-epoa-dref-operation-no-mdrpg011;

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022;

https://dtm.iom.int/reports/papua-new-guinea-rapid-assesment-report-displacements-highlands-region-oct-nov-2022?close=true",People exposed - people affected (as per INFORM methodology),PNG003Minimal humanitarian conditions - Level 1,2024-10-22,Change in the data/methodology
3714,Highlands Violence,PNG003,Papua New Guinea,Stressed humanitarian conditions - Level 2,239137,UNCT PNG 09/08/22;UNCT PNG 10/10/22; IOM 19/12/22; IOM 20/03/2024,Low,3,"https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022

https://dtm.iom.int/reports/papua-new-guinea-rapid-assesment-report-displacements-highlands-region-oct-nov-2022?close=true

https://dtm.iom.int/reports/papua-new-guinea-wapenamanda-conflict-rapid-assessment-report-20-march-2024",Level 2 = Affected - PIN (as per INFORM methodology),PNG003Stressed humanitarian conditions - Level 2,2024-10-22,Change in the data/methodology
3715,Highlands Violence,PNG003,Papua New Guinea,Moderate humanitarian conditions - Level 3,25453,UNCT PNG 10/10/22; IOM 19/12/22; IOM 20/03/2024,Low,3,"https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022

https://dtm.iom.int/reports/papua-new-guinea-rapid-assesment-report-displacements-highlands-region-oct-nov-2022?close=true

https://dtm.iom.int/reports/papua-new-guinea-wapenamanda-conflict-rapid-assessment-report-20-march-2024",Number of people displaced is considered to be people in need. All people in need are assigned to level 3. Not enough information available to assign people to level 4 and level 5.,PNG003Moderate humanitarian conditions - Level 3,2024-10-22,Change in the data/methodology
3716,Highlands Violence,PNG003,Papua New Guinea,Severe humanitarian conditions - Level 4,x,x,x,x,x, Not enough information available to assign people to level 4 and level 5.,PNG003Severe humanitarian conditions - Level 4,2024-10-22,Humanitarian development
3717,Highlands Violence,PNG003,Papua New Guinea,Extreme humanitarian conditions - Level 5,x,x,x,x,x, Not enough information available to assign people to level 4 and level 5.,PNG003Extreme humanitarian conditions - Level 5,2024-10-22,Humanitarian development
3718,Highlands Violence,PNG003,Papua New Guinea,Crisis affected groups,4,UNCT PNG 09/08/22 ,High,1,https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022,"Host, non-host, returnees, and IDPs that are affected by the ongoing violence in the affected provinces.",PNG003Crisis affected groups,2024-10-22,Humanitarian development
3719,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Total population,11781559,NSO accessed 12/08/2024 ,High,1,https://www.nso.gov.pg/statistics/population/,Total population living in Papua New Guinea,PNG005Total population,2024-10-22,Humanitarian development
3720,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Landmass affected,60776,UNDP 01/08/2024; OCHA 04/04/2023,Medium ,2,"https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024; 

https://data.humdata.org/dataset/f260301d-c32f-4e9e-a7d6-05bde2f70b6b/resource/e608cdc2-c26b-46c2-b223-ec50150e9952/download/png_adminboundaries_tabulardata.xlsx","UNDP's assessment indicates that the flood-affected LLGs (local-level governments) are:
Kiunga Rural, Lake Murray Rural, Balimo Urban, Bamu Rural, Aramia Gogodala, Fly Gogodala, and Morehead Rural.
Note: LLGs are third order administrative divisions.",PNG005Landmass affected,2024-10-22,Humanitarian development
3721,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,People exposed,144669,UNDP 01/08/2024; NSO accessed 12/08/2024,Medium ,2,"https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024; 

https://www.nso.gov.pg/download/118/population-estimates-2021/3740/01_western_population_estimate_results.pdf","Total population living in the affected areas (Kiunga Rural, Lake Murray Rural, Balimo Urban, Bamu Rural, Aramia Gogodala, Fly Gogodala, and Morehead Rural LLGs).",PNG005People exposed,2024-10-22,Humanitarian development
3722,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,People affected,55348,UNDP 01/08/2024,High,1,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,"According to the UNDP assessment, 55,348 people were affected.",PNG005People affected,2024-10-22,Humanitarian development
3723,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,People displaced,1531,UNDP 01/08/2024,High,1,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,"According to the UNDP assessment,1,531 people have been displaced.",PNG005People displaced,2024-10-22,Humanitarian development
3724,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Injuries reported,2,UNDP 01/08/2024,High,1,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,"According to the UNDP assessment, two injuries were reported.",PNG005Injuries reported,2024-10-22,Humanitarian development
3725,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Fatalities reported,0,UNDP 01/08/2024,High,1,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,No fatalities were reported.,PNG005Fatalities reported,2024-10-22,Humanitarian development
3726,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Fatalities in all crises,52,ACLED accessed 21/10/2024; UNDP 01/08/2024,Medium ,2,"https://acleddata.com/data-export-tool/; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024","Number of fatalities in all crises in the last 6 months. Six months previous to the month the severity index (SI) is calculated are considered. For example, for the January 2023 version of SI, months considered will be July 2022 to December 2022.",PNG005Fatalities in all crises,2024-10-22,Change in the data/methodology
3727,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,People in Need,33726,UNDP 01/08/2024,High,1,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,"According to the UNDP assessment, 33,726 people are in need of humanitarian assistance.",PNG005People in Need,2024-10-22,Humanitarian development
3728,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Minimal humanitarian conditions - Level 1,89321,UNDP 01/08/2024; NSO accessed 12/08/2024,Medium ,2,"https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024; 

https://www.nso.gov.pg/download/118/population-estimates-2021/3740/01_western_population_estimate_results.pdf",People exposed - people affected (as per methodology),PNG005Minimal humanitarian conditions - Level 1,2024-10-22,Humanitarian development
3729,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Stressed humanitarian conditions - Level 2,21622,UNDP 01/08/2024,Medium ,2,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,Level 2 = Affected - PIN (as per methodology),PNG005Stressed humanitarian conditions - Level 2,2024-10-22,Humanitarian development
3730,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Moderate humanitarian conditions - Level 3,33726,UNDP 01/08/2024,High,1,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,"According to the UNDP assessment, 33,726 people are in need of humanitarian assistance. There is not enough information available to assign people to level 4 and level 5, so all the people in need of humanitarian assistance are assigned to level 3.",PNG005Moderate humanitarian conditions - Level 3,2024-10-22,Humanitarian development
3731,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Severe humanitarian conditions - Level 4,x,x,x,x,x, Not enough information available to assign people to level 4 and level 5.,PNG005Severe humanitarian conditions - Level 4,2024-10-22,Humanitarian development
3732,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Extreme humanitarian conditions - Level 5,x,x,x,x,x, Not enough information available to assign people to level 4 and level 5.,PNG005Extreme humanitarian conditions - Level 5,2024-10-22,Humanitarian development
3733,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Crisis affected groups,3,UNDP 01/08/2024,High,1,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,"Affected groups: Host, non-host, and IDPs.",PNG005Crisis affected groups,2024-10-22,Humanitarian development
3734,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,People facing limited access constraints,x,x,x,x,x,There is no data on people facing access constraints,PNG005People facing limited access constraints,2024-10-22,Humanitarian development
3735,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,People facing restricted access constraints,x,x,x,x,x,There is no data on people facing access constraints,PNG005People facing restricted access constraints,2024-10-22,Humanitarian development
3736,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Illness cases reported,x,x,x,x,x,Limited data/information available ,PNG005Illness cases reported,2024-10-22,Humanitarian development
3737,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Buildings damaged,1387,UNDP 01/08/2024,Low,3,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,"The UNDP assessment recommended the provision of targeted temporary shelter assistance for an estimated 1,387 households. From this information, it is estimated that 1,387 houses may have been damaged.",PNG005Buildings damaged,2024-10-22,Humanitarian development
3738,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Buildings destroyed,x,x,x,x,x,Limited data/information available ,PNG005Buildings destroyed,2024-10-22,Humanitarian development
3739,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Buildings in affected area,x,x,x,x,x,Limited data/information available ,PNG005Buildings in affected area,2024-10-22,Humanitarian development
3740,2024 Monsoon Flooding in Western Province,PNG005,Papua New Guinea,Economic Losses,x,x,x,x,x,Limited data/information available ,PNG005Economic Losses,2024-10-22,Humanitarian development
3741,Mutliple crises in Bangladesh,BGD001,Bangladesh,Total population,170832305,BBS 18/04/2023; Govt. Bangladesh and UNHCR 30/09/2024,High,1,"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b343a8b4_956b_45ca_872f_4cf9b2f1a6e0/2023-04-18-08-42-4f13d316f798b9e5fd3a4c61eae4bfef.pdf; 
https://reliefweb.int/report/bangladesh/rohingya-refugee-responsebangladesh-joint-government-bangladesh-unhcr-population-factsheet-30-september-2024","Total population of Bangladesh (169,828,911) for 2022 according to the Bangladesh Bureau of Statistics (BBS) plus the number of registered Rohingya refugees",BGD001Total population,2024-10-22,Change in the data/methodology
3742,Mutliple crises in Bangladesh,BGD001,Bangladesh,Landmass affected,147570,BBS 2020; IPC 15/06/2022,High,1,"https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/a1d32f13_8553_44f1_92e6_8ff80a4ff82e/2021-05-14-06-22-47723b0e1476ed905d1c121f8f07d935.pdf;

https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Bangladesh_Chronic_Food_Insecurity_2022June_report.pdf","The chronic food security crisis in Bangladesh is affecting the entire country (all the 64 districts) which is reflected by the food insecurity situation in the country. All the districts have people who are facing moderate or severe chronic food insecurity (IPC levels 3 or 4). In each district, as per the IPC chronic food insecurity estimates in 2022, at least 15% of the population are facing  moderate or severe chronic food insecurity. So, the BGD001 (Multiple crises in Bangladesh) covers the entire country.

The landmass affected by cyclone Remal and floods is not considered as it would result in double counting.",BGD001Landmass affected,2024-10-22,Humanitarian development
